taluk,expected
Chinnasalem,50
Gingee,60
Kallakurichi,46
Kalrayan Hills,15
Kanai,51
Kandamangalam,45
Koliyanur,43
Mailam,47
Melmalayanur,55
Merkanam,56
Mugaiyur,63
Olakkur,52
Rishivandiyam,53
Sankarapuram,44
T.V. Nallur,49
Thiyagadurgam,40
Tirukoilur,52
Tirunavalur,44
Ulundurpet,53
Vallam,66
Vanur,65
Vikkiravandi,50
