taluk,expected
Elachipalayam,29
Erumapatty,24
Kabilarmalai,20
Kollihills,14
Mallasamudram,27
Mohanur,25
Namagiripet,18
Namakkal,25
Pallipalayam,15
Paramathy,20
Puduchatram,21
Rasipuram,20
Sendamangalam,14
Tiruchengode,26
Vennandur,24
