taluk,expected
Bogalur,26
Kadaladi,60
Kamuthi,53
Mandapam,28
Mudukulathur,46
Nainarkoil,37
Paramakudi,39
R.S. Mangalam,35
Ramanathapuram,25
Thiruppullani,33
Thiruvadanai,47
