taluk,expected
Koradacheri,44
Kottur,49
Kudavaasal,49
Mannargudi,51
Muthupettai,29
Nannilam,48
Needamangalam,44
Thiruthuraipoondi,32
Thiruvarur,34
Valangaiman,50
