taluk,expected
Devakottai,42
Ilayangudi,55
Kalaiyarkovil,43
Kallal,44
Kannangudi,17
Manamadurai,39
S.Pudur,21
Sakkottai,26
Singampunari,30
Sivaganga,43
Thiruppathur,40
Thiruppuvanam,45
