taluk,expected
Athoor,22
Batlagundu,17
Dindigul,14
Guziliamparai,17
Kodaikanal,15
Natham,23
Nilakottai,23
Oddanchatram,35
Palani,20
Reddiarchatram,24
Shanarpatti,21
Thoppampatty,38
Vadamadurai,15
Vedasandur,22
