taluk,expected
Ammapet,20
Anthiyur,14
Bhavani,15
Bhavanisagar,15
Chennimalai,22
Erode,6
Gobi,21
Kodumudi,10
Modakkuruchi,23
Nambiyur,15
Perundurai,29
Sathy,15
T.N. Palayam,10
Talavadi,10
