taluk,expected
Anakkavoor,55
Arni,38
Chengam,44
Chetpet,49
Cheyyar,53
Jawadhu Hills,11
Kalasapakkam,45
Kilpennathur,45
Pernamallur,57
Polur,40
Pudupalayam,37
Thandarampet,47
Thellar,61
Thurinjapuram,47
Tiruvannamalai,69
Vandavasi,61
Vembakkam,64
West Arni,37
