taluk,expected
Annagramam,42
Cuddalore,51
Kammapuram,53
Kattumannar Koil,55
Keerapalayam,63
Kumaratchi,57
Kurinjipadi,51
Mangalur,66
Melbhuvanagiri,47
Nallur,64
Panruti,42
Parangipettai,41
Vridhachalam,51
