taluk,expected
Annavasal,43
Arantangi,52
Arimalam,32
Avudayarkoil,35
Gandarvakottai,36
Karambakkudi,39
Kunnandarkoil,37
Manamelkudi,28
Ponnamaravathi,42
Pudukkottai,27
Thirumayam,33
Thiruvarankulam,48
Viralimalai,45
