taluk,expected
Keelaiyur,27
Kilvelur,38
Kollidam,42
Kuthalam,51
Mayiladuthurai,54
Nagapattinam,29
Sembanarkoil,57
Sirkali,37
Thalainayar,24
Thirumarugal,39
Vedaranyam,36
