taluk,expected
Aruppukottai,32
Kariapatti,36
Narikudi,44
Rajapalayam,36
Sattur,46
Sivakasi,54
Srivilliputhur,29
Tiruchuli,40
Vembakottai,48
Virudhunagar,58
Watrap,27
