taluk,expected
Alanganallur,37
Chellampatti,29
Kallikudi,36
Kottampatti,27
Madurai East,36
Madurai West,29
Melur,36
Sedapatti,31
T.Kallupatty,42
Thirumangalam,38
Thirupparankundram,38
Usilampatti,18
Vadipatti,23
