taluk,expected
Alwarthirunagari,30
Karungulam,31
Kayathar,45
Kovilpatti,38
Ottapidaram,61
Pudur,44
Sattankulam,24
Srivaikundam,31
Thoothukudi,20
Tiruchendur,11
Udangudi,17
Vilathikulam,51
