taluk,expected
Ammapet,46
Budalur,42
Kumbakonam,47
Madukkur,33
Orathanadu,58
Papanasam,34
Pattukkottai,43
Peravurani,26
Sethubavachatram,37
Thanjavur,61
Thiruppanandal,44
Thiruvaiyaru,40
Thiruvidaimarudur,48
Thiruvonam,30
