taluk,expected
Andhanallur,25
Lalgudi,45
Manachanallur,35
Manapparai,21
Manikandam,22
Marungapuri,49
Musiri,33
Pullampady,33
T.Pet,25
Thiruverambur,20
Thottiam,26
Thuraiyur,34
Uppiliyapuram,18
Vaiyampatty,18
