taluk,expected
Acharapakkam,59
Chithamur,43
Kancheepuram,40
Kattankolathur,39
Kundrathur,42
Lathur,41
Madurantakam,58
Sriperumbudur,58
Thirukalukundram,54
Thiruporur,50
Thomas Malai,15
Uthiramerur,73
Walajabad,61
