taluk,expected
Avinashi,31
Dharapuram,16
Gudimangalam,23
Kangayam,15
Kundadam,24
Madathukulam,11
Mulanur,12
Palladam,20
Pongalur,16
Tiruppur,13
Udumalpet,38
Uthukuli,37
Vellakoil,9
