taluk,expected
Attur,20
Ayothiyapattinam,32
Gangavalli,14
Idappady,10
Kadayaampatti,17
Kolathur,14
Konganapuram,9
Mac. Choultry,12
Mecheri,17
Nangavalli,9
Omalur,33
P.N.Palayam,36
Panamarathupatti,20
Salem,14
Sankari,22
Thalaivasal,35
Tharamangalam,17
Valapady,20
Veerapandy,25
Yercaud,9
