taluk,expected
Ellapuram,53
Gummidipoondi,61
Kadambathur,43
Minjur,55
Pallipet,33
Poonamallee,28
Poondi,49
Puzhal,7
R.K.Pet,38
Sholavaram,39
Tiruttani,27
Tiruvalangadu,42
Tiruvallur,38
Villivakkam,13
