taluk,expected
Alankulam,28
Ambasamudram,12
Cheranmahadevi,12
Kadayam,23
Kadayanallur,16
Kalakadu,17
Keelapavoor,21
Kuruvikulam,43
Manur,41
Melaneelithanallur,25
Nanguneri,27
Palayamkottai,30
Pappakudi,15
Radhapuram,27
Sankarankoil,28
Shencottai,6
Tenkasi,14
Valliyoor,18
Vasudevanallur,22
