taluk,expected
Alangayam,29
Anaicut,38
Arakonam,26
Arcot,39
Gudiyatham,44
Jolarpet,36
K.V. Kuppam,39
Kandhili,39
Kaniyambadi,24
Katpadi,21
Kaveripakkam,55
Madhanur,36
Natrampalli,26
Nemili,52
Pernambet,51
Sholinghur,45
Thimiri,55
Thirupathur,34
Vellore,18
Walajah,36
